dist_road,dist_market,dist_border,dist_popcenter,dist_admhq,age,sex,denomination,total_cons_ann,nom_totcons_aeq,walls_material,roof_material,floor_material
0.7,9.8,249.3,9.8,0.3,0-17,Female,urban,73114.0,18278.5,Wood and mud,Corrugated iron sheet,Mud
0.7,9.8,249.3,9.8,0.3,0-17,Male,urban,73114.0,18278.5,Wood and mud,Corrugated iron sheet,Mud
1.3,194.0,48.7,5.6,0.1,31-50,Male,urban,73582.0,33145.04296875,Wood and mud,Wood and mud,Mud
1.3,194.0,48.7,5.6,0.1,31-50,Female,urban,73582.0,33145.04296875,Wood and mud,Wood and mud,Mud
1.3,194.0,48.7,5.6,0.1,0-17,Male,urban,73582.0,33145.04296875,Wood and mud,Wood and mud,Mud
1.3,194.0,48.7,5.6,0.1,0-17,Female,urban,73582.0,33145.04296875,Wood and mud,Wood and mud,Mud
1.3,194.0,48.7,5.6,0.1,0-17,Female,urban,73582.0,33145.04296875,Wood and mud,Wood and mud,Mud
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,65+,Male,urban,129888.0,51137.0078125,Stone and cement,Corrugated iron sheet,Cement screed/Cement screed not applied
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,51-65,Female,urban,129888.0,51137.0078125,Stone and cement,Corrugated iron sheet,Cement screed/Cement screed not applied
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,0-17,Male,urban,129888.0,51137.0078125,Stone and cement,Corrugated iron sheet,Cement screed/Cement screed not applied
1.3,194.0,48.7,5.6,0.1,65+,Male,urban,145918.0,45316.1484375,Wood and mud,Wood and mud,Mud
1.3,194.0,48.7,5.6,0.1,65+,Female,urban,145918.0,45316.1484375,Wood and mud,Wood and mud,Mud
1.3,194.0,48.7,5.6,0.1,18-30,Female,urban,145918.0,45316.1484375,Wood and mud,Wood and mud,Mud
1.3,194.0,48.7,5.6,0.1,0-17,Female,urban,145918.0,45316.1484375,Wood and mud,Wood and mud,Mud
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,18-30,Female,urban,22912.0,20276.10546875,Wood and mud,Wood and mud,Mud
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,0-17,Female,urban,22912.0,20276.10546875,Wood and mud,Wood and mud,Mud
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,18-30,Male,urban,114450.0,37159.09375,Wood and mud,Wood and mud,Mud
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,18-30,Female,urban,114450.0,37159.09375,Wood and mud,Wood and mud,Mud
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,0-17,Female,urban,114450.0,37159.09375,Wood and mud,Wood and mud,Mud
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,0-17,Female,urban,114450.0,37159.09375,Wood and mud,Wood and mud,Mud
1.3,194.0,48.7,5.6,0.1,31-50,Male,urban,239836.0,80481.875,Wood and mud,Wood and mud,Mud
1.3,194.0,48.7,5.6,0.1,31-50,Female,urban,239836.0,80481.875,Wood and mud,Wood and mud,Mud
1.3,194.0,48.7,5.6,0.1,0-17,Male,urban,239836.0,80481.875,Wood and mud,Wood and mud,Mud
1.3,194.0,48.7,5.6,0.1,0-17,Female,urban,239836.0,80481.875,Wood and mud,Wood and mud,Mud
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,51-65,Male,urban,105047.359375,23448.0703125,Wood and mud,Corrugated iron sheet,Mud
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,31-50,Female,urban,105047.359375,23448.0703125,Wood and mud,Corrugated iron sheet,Mud
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,18-30,Female,urban,105047.359375,23448.0703125,Wood and mud,Corrugated iron sheet,Mud
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,0-17,Male,urban,105047.359375,23448.0703125,Wood and mud,Corrugated iron sheet,Mud
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,0-17,Female,urban,105047.359375,23448.0703125,Wood and mud,Corrugated iron sheet,Mud
1.3,194.0,48.7,5.6,0.1,51-65,Male,urban,142752.0,66396.2734375,Wood and thatch/Wood only,Thatch,Mud
